TITLE     = "Rainfall"
VARIABLES = "Month" "Seattle Rainfall" "Dallas Rainfall" "Miami Rainfall" "Error 1" "Error 2"
ZONE T="ZONE 1"
 STRANDID=0, SOLUTIONTIME=0
 I=12, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 1.000000000E+000 4.300000191E+000 4.000000000E+000 4.000000000E+000 2.000000030E-001 4.000000060E-001
 2.000000000E+000 4.500000000E+000 4.000000000E+000 4.099999905E+000 2.199999988E-001 4.399999976E-001
 3.000000000E+000 4.000000000E+000 3.500000000E+000 4.500000000E+000 2.399999946E-001 4.799999893E-001
 4.000000000E+000 4.199999809E+000 3.400000095E+000 4.199999809E+000 2.399999946E-001 4.799999893E-001
 5.000000000E+000 3.500000000E+000 3.000000000E+000 3.599999905E+000 2.000000030E-001 4.000000060E-001
 6.073231697E+000 2.099999905E+000 2.599999905E+000 2.799999952E+000 1.599999964E-001 4.030438066E-001
 7.000000000E+000 2.000000000E+000 1.500000000E+000 2.500000000E+000 2.311804295E-001 3.199999928E-001
 8.109848022E+000 1.500000000E+000 1.000000000E+000 2.400000095E+000 1.599999964E-001 4.346795678E-001
 9.000000000E+000 2.099999905E+000 1.100000024E+000 2.599999905E+000 1.000000015E-001 2.000000030E-001
 1.000000000E+001 2.500000000E+000 1.600000024E+000 3.099999905E+000 2.199999988E-001 4.399999976E-001
 1.100000000E+001 3.299999952E+000 2.500000000E+000 3.000000000E+000 2.199999988E-001 4.399999976E-001
 1.200000000E+001 3.599999905E+000 3.500000000E+000 3.500000000E+000 2.399999946E-001 4.799999893E-001
ZONE T="ZONE 2"
 STRANDID=0, SOLUTIONTIME=0
 I=12, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 1.017978668E+000 4.300000191E+000 4.000000000E+000 3.702940702E+000 2.000000030E-001 4.000000060E-001
 2.000000000E+000 4.500000000E+000 4.000000000E+000 4.226025105E+000 2.199999988E-001 4.399999976E-001
 3.215743303E+000 4.000000000E+000 3.644028902E+000 4.500000000E+000 2.399999946E-001 4.799999893E-001
 4.000000000E+000 4.199999809E+000 3.400000095E+000 4.199999809E+000 2.399999946E-001 4.799999893E-001
 4.910107136E+000 3.500000000E+000 3.000000000E+000 4.059091568E+000 2.000000030E-001 4.000000060E-001
 6.053936005E+000 1.181816339E+000 2.599999905E+000 2.799999952E+000 1.599999964E-001 3.199999928E-001
 7.000000000E+000 2.063012600E+000 1.500000000E+000 2.500000000E+000 1.599999964E-001 3.199999928E-001
 8.000000000E+000 1.500000000E+000 1.000000000E+000 2.400000095E+000 1.599999964E-001 3.199999928E-001
 9.000000000E+000 2.099999905E+000 1.100000024E+000 2.599999905E+000 1.000000015E-001 2.000000030E-001
